Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Cost per item,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
brazil-2026-away-shirt,,,,,,,Size,4XL,Version,Player,BRAZIL-2026-AWAY-SHIRT-4XL-PV,200,,continue,manual,234.00,,78.78,TRUE,TRUE,,,,,,
brazil-2026-home-shirt,Brazil 2026 Home Shirt,"<p>The Brazil 2026 home shirt. Available in fan and player versions, sizes S to 4XL.</p><p>Name and number printed to order (+₪39), adding two days to dispatch. Delivery is 12 to 25 days, tracked.</p>",National Teams,National Team Jersey,"National Teams, 2026, Home, Brazil, International, Football, Soccer, Jersey",FALSE,Size,S,Version,Fan,BRAZIL-2026-HOME-SHIRT-S-FAN,200,,continue,manual,169.00,,66.66,TRUE,TRUE,https://raw.githubusercontent.com/OmarHawari2/kitverse-images/main/images/71566748.jpg,1,Brazil 2026 Home Shirt,Brazil 2026 Home Shirt,"Shop the Brazil 2026 Home Shirt. Fan and player versions, sizes S-4XL, name and number printed to order.",draft
brazil-2026-home-shirt,,,,,,,Size,S,Version,Player,BRAZIL-2026-HOME-SHIRT-S-PV,200,,continue,manual,219.00,,72.72,TRUE,TRUE,,,,,,
brazil-2026-home-shirt,,,,,,,Size,M,Version,Fan,BRAZIL-2026-HOME-SHIRT-M-FAN,200,,continue,manual,169.00,,66.66,TRUE,TRUE,,,,,,
brazil-2026-home-shirt,,,,,,,Size,M,Version,Player,BRAZIL-2026-HOME-SHIRT-M-PV,200,,continue,manual,219.00,,72.72,TRUE,TRUE,,,,,,
brazil-2026-home-shirt,,,,,,,Size,L,Version,Fan,BRAZIL-2026-HOME-SHIRT-L-FAN,200,,continue,manual,169.00,,66.66,TRUE,TRUE,,,,,,
brazil-2026-home-shirt,,,,,,,Size,L,Version,Player,BRAZIL-2026-HOME-SHIRT-L-PV,200,,continue,manual,219.00,,72.72,TRUE,TRUE,,,,,,
brazil-2026-home-shirt,,,,,,,Size,XL,Version,Fan,BRAZIL-2026-HOME-SHIRT-XL-FAN,200,,continue,manual,169.00,,66.66,TRUE,TRUE,,,,,,
brazil-2026-home-shirt,,,,,,,Size,XL,Version,Player,BRAZIL-2026-HOME-SHIRT-XL-PV,200,,continue,manual,219.00,,72.72,TRUE,TRUE,,,,,,
brazil-2026-home-shirt,,,,,,,Size,XXL,Version,Fan,BRAZIL-2026-HOME-SHIRT-XXL-FAN,200,,continue,manual,169.00,,66.66,TRUE,TRUE,,,,,,
